Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
mardi 16 juin,Irak,1 - 4,Norvège,,178,,3 - 0,0
lundi 15 juin,Suède,5 - 1,Tunisie,,72,,2 - 1,72
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,4 - 1,0
lundi 15 juin,Belgique,1 - 1,Égypte,,57,,2 - 0,0
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,50,,1 - 3,0
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,74,,1 - 0,0
dimanche 14 juin,Côte d’Ivoire,1 - 0,Équateur,,101,,1 - 1,0
samedi 13 juin,États-Unis,4 - 1,Paraguay,,74,,2 - 0,74
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,0 - 3,0
samedi 13 juin,Brésil,1 - 1,Maroc,,55,,2 - 1,0
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,107,,2 - 2,0
vendredi 12 juin,Canada,1 - 1,Bosnie,,65,,3 - 1,0
