Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
jeudi 18 juin,Ouzbékistan,1 - 3,Colombie,,44,,0 - 1,44
jeudi 18 juin,Tchéquie,1 - 1,Afrique du Sud,,112,Exact +20pts,,132
jeudi 18 juin,Suisse,4 - 1,Bosnie,,134,,0 - 1,0
jeudi 18 juin,Canada,6 - 0,Qatar,,104,,1 - 1,0
mercredi 17 juin,Argentine,3 - 0,Algérie,,43,,1 - 0,43
mercredi 17 juin,Autriche,3 - 1,Jordanie,,38,,2 - 0,38
mercredi 17 juin,Portugal,1 - 1,RD Congo,,34,,1 - 0,0
mercredi 17 juin,Angleterre,4 - 2,Croatie,,119,,1 - 1,0
mercredi 17 juin,Ghana,1 - 0,Panama,,73,,2 - 1,73
mardi 16 juin,Iran,2 - 2,Nouvelle-Zélande,,116,,1 - 1,116
mardi 16 juin,France,3 - 1,Sénégal,,46,,1 - 0,46
mardi 16 juin,Irak,1 - 4,Norvège,,144,,1 - 1,0
lundi 15 juin,Suède,5 - 1,Tunisie,,72,,1 - 0,72
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,1 - 0,0
lundi 15 juin,Belgique,1 - 1,Égypte,,57,,1 - 0,0
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,50,,2 - 4,0
dimanche 14 juin,Haïti,0 - 1,Écosse,,44,,0 - 2,44
dimanche 14 juin,Australie,2 - 0,Turquie,,66,,0 - 1,0
dimanche 14 juin,Allemagne,7 - 1,Curaçao,,15,,3 - 0,15
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,74,,2 - 0,0
dimanche 14 juin,Côte d’Ivoire,1 - 0,Équateur,,85,,0 - 1,0
samedi 13 juin,États-Unis,4 - 1,Paraguay,,74,,2 - 1,74
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,0 - 1,0
samedi 13 juin,Brésil,1 - 1,Maroc,,55,,2 - 0,0
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,107,,1 - 1,0
vendredi 12 juin,Canada,1 - 1,Bosnie,,117,Exact +20pts,,137
jeudi 11 juin,Mexique,2 - 0,Afrique du Sud,,49,Exact +20pts,,69
