Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 21 juin,Espagne,4 - 0,Arabie saoudite,,31,,3 - 0,31
dimanche 21 juin,Belgique,0 - 0,Iran,,39,,3 - 0,0
dimanche 21 juin,Uruguay,2 - 2,Cap-Vert,,72,,2 - 0,0
samedi 20 juin,Brésil,3 - 0,Haïti,,21,Exact +20pts,,41
samedi 20 juin,Turquie,0 - 1,Paraguay,,113,,1 - 1,0
samedi 20 juin,Pays-Bas,5 - 1,Suède,,131,,1 - 2,0
samedi 20 juin,Allemagne,2 - 1,Côte d’Ivoire,,38,,3 - 1,38
vendredi 19 juin,Mexique,1 - 0,Corée du Sud,,69,,2 - 0,69
vendredi 19 juin,États-Unis,2 - 0,Australie,,58,Rare +30pts,,88
vendredi 19 juin,Écosse,0 - 1,Maroc,,91,,0 - 2,91
jeudi 18 juin,Ouzbékistan,1 - 3,Colombie,,44,,0 - 3,44
jeudi 18 juin,Tchéquie,1 - 1,Afrique du Sud,,62,,2 - 1,0
jeudi 18 juin,Suisse,4 - 1,Bosnie,,76,,2 - 1,76
jeudi 18 juin,Canada,6 - 0,Qatar,,71,,2 - 0,71
mercredi 17 juin,Argentine,3 - 0,Algérie,,129,,1 - 1,0
mercredi 17 juin,Autriche,3 - 1,Jordanie,,38,,2 - 0,38
mercredi 17 juin,Portugal,1 - 1,RD Congo,,34,,3 - 0,0
mercredi 17 juin,Angleterre,4 - 2,Croatie,,59,(x2),2 - 1,118
mercredi 17 juin,Ghana,1 - 0,Panama,,73,,2 - 1,73
mardi 16 juin,Iran,2 - 2,Nouvelle-Zélande,,116,,1 - 1,116
mardi 16 juin,France,3 - 1,Sénégal,,46,,2 - 1,46
mardi 16 juin,Irak,1 - 4,Norvège,,30,,0 - 2,30
lundi 15 juin,Suède,5 - 1,Tunisie,,110,,1 - 1,0
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,5 - 0,0
lundi 15 juin,Belgique,1 - 1,Égypte,,57,,2 - 0,0
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,50,,1 - 3,0
dimanche 14 juin,Haïti,0 - 1,Écosse,,44,,0 - 2,44
dimanche 14 juin,Australie,2 - 0,Turquie,,66,,1 - 2,0
dimanche 14 juin,Allemagne,7 - 1,Curaçao,,15,,4 - 0,15
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,74,,2 - 1,0
dimanche 14 juin,Côte d’Ivoire,1 - 0,Équateur,,101,,1 - 1,0
samedi 13 juin,États-Unis,4 - 1,Paraguay,,74,,2 - 0,74
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,0 - 3,0
samedi 13 juin,Brésil,1 - 1,Maroc,,122,Exact +20pts,,142
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,91,,1 - 2,0
vendredi 12 juin,Canada,1 - 1,Bosnie,,117,Exact +20pts,,137
jeudi 11 juin,Mexique,2 - 0,Afrique du Sud,,49,Exact +20pts,,69
