Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
mercredi 17 juin,Autriche,3 - 1,Jordanie,,38,,1 - 0,38
mercredi 17 juin,Portugal,1 - 1,RD Congo,,34,,3 - 1,0
mercredi 17 juin,Angleterre,4 - 2,Croatie,,59,,3 - 1,59
mercredi 17 juin,Ghana,1 - 0,Panama,,116,,0 - 1,0
mardi 16 juin,Iran,2 - 2,Nouvelle-Zélande,,116,,0 - 0,116
mardi 16 juin,France,3 - 1,Sénégal,,46,,2 - 1,46
mardi 16 juin,Irak,1 - 4,Norvège,,30,,1 - 2,30
lundi 15 juin,Suède,5 - 1,Tunisie,,72,,2 - 0,72
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,5 - 0,0
lundi 15 juin,Belgique,1 - 1,Égypte,,135,,1 - 2,0
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,125,Exact +20pts,,145
dimanche 14 juin,Haïti,0 - 1,Écosse,,44,,0 - 3,44
dimanche 14 juin,Australie,2 - 0,Turquie,,66,,2 - 3,0
dimanche 14 juin,Allemagne,7 - 1,Curaçao,,15,,3 - 1,15
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,74,,2 - 0,0
dimanche 14 juin,Côte d’Ivoire,1 - 0,Équateur,,101,,1 - 1,0
samedi 13 juin,États-Unis,4 - 1,Paraguay,,115,,0 - 1,0
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,0 - 2,0
samedi 13 juin,Brésil,1 - 1,Maroc,,140,,1 - 2,0
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,96,,1 - 0,96
vendredi 12 juin,Canada,1 - 1,Bosnie,,117,Exact +20pts,,137
jeudi 11 juin,Mexique,2 - 0,Afrique du Sud,,49,Exact +20pts,,69
