Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
jeudi 18 juin,Canada,6 - 0,Qatar,,104,,1 - 1,0
mercredi 17 juin,Argentine,3 - 0,Algérie,,129,,1 - 1,0
mercredi 17 juin,Autriche,3 - 1,Jordanie,,38,,1 - 0,38
mercredi 17 juin,Portugal,1 - 1,RD Congo,,34,,3 - 0,0
mercredi 17 juin,Angleterre,4 - 2,Croatie,,133,,0 - 1,0
mardi 16 juin,Iran,2 - 2,Nouvelle-Zélande,,63,,1 - 0,0
mardi 16 juin,France,3 - 1,Sénégal,,46,,1 - 0,46
mardi 16 juin,Irak,1 - 4,Norvège,,30,,0 - 2,30
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,4 - 0,0
lundi 15 juin,Belgique,1 - 1,Égypte,,57,,1 - 0,0
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,50,,0 - 3,0
dimanche 14 juin,Haïti,0 - 1,Écosse,,44,,0 - 3,44
dimanche 14 juin,Australie,2 - 0,Turquie,,66,,1 - 2,0
dimanche 14 juin,Allemagne,7 - 1,Curaçao,,15,,4 - 0,15
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,74,,2 - 1,0
samedi 13 juin,États-Unis,4 - 1,Paraguay,,74,,2 - 1,74
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,1 - 3,0
samedi 13 juin,Brésil,1 - 1,Maroc,,55,,3 - 1,0
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,107,,2 - 2,0
vendredi 12 juin,Canada,1 - 1,Bosnie,,65,,1 - 0,0
jeudi 11 juin,Mexique,2 - 0,Afrique du Sud,,49,Exact +20pts,,69
