Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
jeudi 18 juin,Tchéquie,1 - 1,Afrique du Sud,,112,,2 - 2,112
jeudi 18 juin,Suisse,4 - 1,Bosnie,,76,,2 - 0,76
jeudi 18 juin,Canada,6 - 0,Qatar,,71,,3 - 0,71
mercredi 17 juin,Argentine,3 - 0,Algérie,,43,Très rare +50pts,,93
mercredi 17 juin,Autriche,3 - 1,Jordanie,,38,,2 - 0,38
mercredi 17 juin,Portugal,1 - 1,RD Congo,,34,,3 - 0,0
mercredi 17 juin,Angleterre,4 - 2,Croatie,,119,,1 - 1,0
mercredi 17 juin,Ghana,1 - 0,Panama,,73,Exact +20pts,,93
mardi 16 juin,Iran,2 - 2,Nouvelle-Zélande,,116,,0 - 0,116
mardi 16 juin,France,3 - 1,Sénégal,,46,(x2),2 - 1,92
mardi 16 juin,Irak,1 - 4,Norvège,,144,,1 - 1,0
lundi 15 juin,Suède,5 - 1,Tunisie,,72,,2 - 0,72
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,4 - 0,0
lundi 15 juin,Belgique,1 - 1,Égypte,,57,,2 - 0,0
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,50,,0 - 1,0
dimanche 14 juin,Haïti,0 - 1,Écosse,,44,,0 - 2,44
dimanche 14 juin,Australie,2 - 0,Turquie,,115,,1 - 1,0
dimanche 14 juin,Allemagne,7 - 1,Curaçao,,15,,4 - 0,15
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,74,,3 - 1,0
dimanche 14 juin,Côte d’Ivoire,1 - 0,Équateur,,108,,2 - 1,108
samedi 13 juin,États-Unis,4 - 1,Paraguay,,74,,3 - 0,74
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,0 - 2,0
samedi 13 juin,Brésil,1 - 1,Maroc,,122,Exact +20pts,,142
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,107,,0 - 0,0
vendredi 12 juin,Canada,1 - 1,Bosnie,,65,,3 - 1,0
jeudi 11 juin,Mexique,2 - 0,Afrique du Sud,,148,,0 - 2,0
